;;;;;;;;;;;;;;;;;;;;;;;
Report Generated From Altium Designer;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
Designator;;Name;;;;Desc;;;LQFP48_H;;;Type;;Owner;Show;;Number;;Name;;Pin/Pkg Length;;
27;;PB14/TIM15_CH1/TIM1_CH2N/ADC2;;;;;;;27;;;Passive;;1;True;;True;;PB14/TIM15_CH;;0mm;;
;;_IN14;;;;;;;;;;;;;;;;;1/TIM1_CH2N/A;;;;
;;;;;;;;;;;;;;;;;;;DC2_IN14;;;;
28;;PB15/TIM15_CH2/TIM15_CH1N/TIM1;;;;;;;28;;;Passive;;1;True;;True;;PB15/TIM15_CH;;0mm;;
;;_CH3N/ADC2_IN15;;;;;;;;;;;;;;;;;2/TIM15_CH1N/;;;;
;;;;;;;;;;;;;;;;;;;TIM1_CH3N/AD;;;;
;;;;;;;;;;;;;;;;;;;C2_IN15;;;;
29;;PA8/MCO/TIM1_CH1;;;;;;;29;;;Passive;;1;True;;True;;PA8/MCO/TIM1_;;0mm;;
;;;;;;;;;;;;;;;;;;;CH1;;;;
30;;PA9/TIM1_CH2/USART1_TX/TIM2_C;;;;;;;30;;;Passive;;1;True;;True;;PA9/TIM1_CH2/;;0mm;;
;;H3;;;;;;;;;;;;;;;;;USART1_TX/TI;;;;
;;;;;;;;;;;;;;;;;;;M2_CH3;;;;
31;;PA10/TIM1_CH3/USART1_RX/COMP;;;;;;;31;;;Passive;;1;True;;True;;PA10/TIM1_CH3;;0mm;;
;;6_OUT/TIM2_CH4;;;;;;;;;;;;;;;;;/USART1_RX/C;;;;
;;;;;;;;;;;;;;;;;;;OMP6_OUT/TIM;;;;
;;;;;;;;;;;;;;;;;;;2_CH4;;;;
32;;PA11/TIM1_CH1N/CAN_RX/TIM1_CH;;;;;;;32;;;Passive;;1;True;;True;;PA11/TIM1_CH1;;0mm;;
;;4;;;;;;;;;;;;;;;;;N/CAN_RX/TIM1;;;;
;;;;;;;;;;;;;;;;;;;_CH4;;;;
33;;PA12/TIM16_CH1/TIM1_CH2N/COMP;;;;;;;33;;;Passive;;1;True;;True;;PA12/TIM16_CH;;0mm;;
;;2_OUT/CAN_TX;;;;;;;;;;;;;;;;;1/TIM1_CH2N/C;;;;
;;;;;;;;;;;;;;;;;;;OMP2_OUT/CA;;;;
;;;;;;;;;;;;;;;;;;;N_TX;;;;
34;;PA13/JTMS/SWDAT/TIM16_CH1N/IR;;;;;;;34;;;Passive;;1;True;;True;;PA13/JTMS/SW;;0mm;;
;;_OUT;;;;;;;;;;;;;;;;;DAT/TIM16_CH;;;;
;;;;;;;;;;;;;;;;;;;1N/IR_OUT;;;;
35;;VSS;;;;;;;35;;;Passive;;1;True;;True;;VSS;;0mm;;
36;;VDD;;;;;;;36;;;Passive;;1;True;;True;;VDD;;0mm;;
37;;PA14/JTCK/SWCLK/I2C1_SDA/USAR;;;;;;;37;;;Passive;;1;True;;True;;PA14/JTCK/SW;;0mm;;
;;T2_TX;;;;;;;;;;;;;;;;;CLK/I2C1_SDA/;;;;
;;;;;;;;;;;;;;;;;;;USART2_TX;;;;
38;;PA15/JTDI/TIM2_CH1/I2C1_SCL/SPI1;;;;;;;38;;;Passive;;1;True;;True;;PA15/JTDI/TIM2;;0mm;;
;;_NSS/USART2_RX;;;;;;;;;;;;;;;;;_CH1/I2C1_SCL;;;;
;;;;;;;;;;;;;;;;;;;/SPI1_NSS/USA;;;;
;;;;;;;;;;;;;;;;;;;RT2_RX;;;;
39;;PB3/JTDO/TRACE/SWO/TIM2_CH2/S;;;;;;;39;;;Passive;;1;True;;True;;PB3/JTDO/TRA;;0mm;;
;;PI1_SCK/USART2_TX;;;;;;;;;;;;;;;;;CE/SWO/TIM2_;;;;
;;;;;;;;;;;;;;;;;;;CH2/SPI1_SCK/;;;;
;;;;;;;;;;;;;;;;;;;USART2_TX;;;;
40;;PB4/NJTRST/TIM16_CH1/TIM3_CH1/;;;;;;;40;;;Passive;;1;True;;True;;PB4/NJTRST/TI;;0mm;;
;;SPI1_MISO/USART2_RX;;;;;;;;;;;;;;;;;M16_CH1/TIM3_;;;;
;;;;;;;;;;;;;;;;;;;CH1/SPI1_MISO;;;;
;;;;;;;;;;;;;;;;;;;/USART2_RX;;;;
41;;PB5/TIM3_CH2/I2C1_SMBA/SPI1_M;;;;;;;41;;;Passive;;1;True;;True;;PB5/TIM3_CH2/I;;0mm;;
;;OSI/TIM17_CH1;;;;;;;;;;;;;;;;;2C1_SMBA/SPI;;;;
;;;;;;;;;;;;;;;;;;;1_MOSI/TIM17_;;;;
;;;;;;;;;;;;;;;;;;;CH1;;;;
42;;PB6/TIM16_CH1N/I2C1_SCL/USART;;;;;;;42;;;Passive;;1;True;;True;;PB6/TIM16_CH1;;0mm;;
;;1_TX;;;;;;;;;;;;;;;;;N/I2C1_SCL/US;;;;
;;;;;;;;;;;;;;;;;;;ART1_TX;;;;
;;;;;;;;;;;;;;;;;;;;;;;
среда 24-окт-24.2018   12:04:07 PM;;;;;;;;;;;;;;;;;;;;;;;Page 2 of 3
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
Designator;;Name;;;;Desc;;;LQFP48_H;;;Type;;Owner;Show;;Number;;Name;;Pin/Pkg Length;;
43;;PB7/TIM17_CH1N/I2C1_SDA/USART;;;;;;;43;;;Passive;;1;True;;True;;PB7/TIM17_CH1;;0mm;;
;;1_RX/TIM3_CH4;;;;;;;;;;;;;;;;;N/I2C1_SDA/US;;;;
;;;;;;;;;;;;;;;;;;;ART1_RX/TIM3_;;;;
;;;;;;;;;;;;;;;;;;;CH4;;;;
44;;BOOT0;;;;;;;44;;;Passive;;1;True;;True;;BOOT0;;0mm;;
45;;PB8/TIM16_CH1/I2C1_SCL/USART3_;;;;;;;45;;;Passive;;1;True;;True;;PB8/TIM16_CH1;;0mm;;
;;RX/CAN_RX/;;;;;;;;;;;;;;;;;/I2C1_SCL/USA;;;;
;;;;;;;;;;;;;;;;;;;RT3_RX/CAN_R;;;;
;;;;;;;;;;;;;;;;;;;X/;;;;
46;;PB9/TIM17_CH1/I2C1_SDA/IR_OUT/;;;;;;;46;;;Passive;;1;True;;True;;PB9/TIM17_CH1;;0mm;;
;;USART3_TX/CAN_TX;;;;;;;;;;;;;;;;;/I2C1_SDA/IR_O;;;;
;;;;;;;;;;;;;;;;;;;UT/USART3_TX;;;;
;;;;;;;;;;;;;;;;;;;/CAN_TX;;;;
47;;VSS;;;;;;;47;;;Passive;;1;True;;True;;VSS;;0mm;;
48;;VDD;;;;;;;48;;;Passive;;1;True;;True;;VDD;;0mm;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
среда 24-окт-24.2018   12:04:07 PM;;;;;;;;;;;;;;;;;;;;;;;Page 3 of 3
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
