;;;;;;;;;;;;;;;;;;;;;;;;
Report Generated From Altium Designer;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Designator;;Name;Desc;;;;LQPF100_A;;;Type;;Owner;;Show;;Number;;Name;;;Pin/Pkg Length;;;
;;_CH3N;;;;;;;;;;;;;;;;;;;;;;
37;;PB2/BOOT1;;;;;37;;;Passive;;1;;True;;True;;PB2/BOOT1 (5V);;;0mm;;;
;;(5V);;;;;;;;;;;;;;;;;;;;;;
38;;PE7/FSMC_;;;;;38;;;Passive;;1;;True;;True;;PE7/FSMC_D4//TI;;;0mm;;;
;;D4//TIM1_E;;;;;;;;;;;;;;;;M1_ETR (5V);;;;;;
;;TR (5V);;;;;;;;;;;;;;;;;;;;;;
39;;PE8/FSMC_;;;;;39;;;Passive;;1;;True;;True;;PE8/FSMC_D5//TI;;;0mm;;;
;;D5//TIM1_C;;;;;;;;;;;;;;;;M1_CH1N (5V);;;;;;
;;H1N (5V);;;;;;;;;;;;;;;;;;;;;;
40;;PE9/FSMC_;;;;;40;;;Passive;;1;;True;;True;;PE9/FSMC_D6//TI;;;0mm;;;
;;D6//TIM1_C;;;;;;;;;;;;;;;;M1_CH1 (5V);;;;;;
;;H1 (5V);;;;;;;;;;;;;;;;;;;;;;
41;;PE10/FSMC;;;;;41;;;Passive;;1;;True;;True;;PE10/FSMC_D7//TI;;;0mm;;;
;;_D7//TIM1_;;;;;;;;;;;;;;;;M1_CH2N (5V);;;;;;
;;CH2N (5V);;;;;;;;;;;;;;;;;;;;;;
42;;PE11/FSMC;;;;;42;;;Passive;;1;;True;;True;;PE11/FSMC_D8//TI;;;0mm;;;
;;;;;;;;;;;;;;;;;;;;;;;;
понедельник 22-окт-22.2018   10:15:39 AM;;;;;;;;;;;;;;;;;;;;;;;Page 2 of 6;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Designator;;Name;Desc;;;;LQPF100_A;;;Type;;Owner;;Show;;Number;;Name;;;Pin/Pkg Length;;;
;;_D8//TIM1_;;;;;;;;;;;;;;;;M1_CH2 (5V);;;;;;
;;CH2 (5V);;;;;;;;;;;;;;;;;;;;;;
43;;PE12/FSMC;;;;;43;;;Passive;;1;;True;;True;;PE12/FSMC_D9//TI;;;0mm;;;
;;_D9//TIM1_;;;;;;;;;;;;;;;;M1_CH3N (5V);;;;;;
;;CH3N (5V);;;;;;;;;;;;;;;;;;;;;;
44;;PE13/FSMC;;;;;44;;;Passive;;1;;True;;True;;PE13/FSMC_D10//;;;0mm;;;
;;_D10//TIM1;;;;;;;;;;;;;;;;TIM1_CH3 (5V);;;;;;
;;_CH3 (5V);;;;;;;;;;;;;;;;;;;;;;
45;;PE14/FSMC;;;;;45;;;Passive;;1;;True;;True;;PE14/FSMC_D11//;;;0mm;;;
;;_D11//TIM1;;;;;;;;;;;;;;;;TIM1_CH4 (5V);;;;;;
;;_CH4 (5V);;;;;;;;;;;;;;;;;;;;;;
46;;PE15/FSMC;;;;;46;;;Passive;;1;;True;;True;;PE15/FSMC_D12//;;;0mm;;;
;;_D12//TIM1;;;;;;;;;;;;;;;;TIM1_BKIN (5V);;;;;;
;;_BKIN (5V);;;;;;;;;;;;;;;;;;;;;;
47;;PB10/I2C2_;;;;;47;;;Passive;;1;;True;;True;;PB10/I2C2_SCL/U;;;0mm;;;
;;SCL/USAR;;;;;;;;;;;;;;;;SART3_TX//TIM2_;;;;;;
;;T3_TX//TIM;;;;;;;;;;;;;;;;CH3 (5V);;;;;;
;;2_CH3 (5V);;;;;;;;;;;;;;;;;;;;;;
48;;PB11/I2C2_;;;;;48;;;Passive;;1;;True;;True;;PB11/I2C2_SDA/U;;;0mm;;;
;;SDA/USAR;;;;;;;;;;;;;;;;SART3_RX//TIM2_;;;;;;
;;T3_RX//TIM;;;;;;;;;;;;;;;;CH4 (5V);;;;;;
;;2_CH4 (5V);;;;;;;;;;;;;;;;;;;;;;
49;;VSS_1;;;;;49;;;Passive;;1;;True;;True;;VSS_1;;;0mm;;;
50;;VDD_1;;;;;50;;;Passive;;1;;True;;True;;VDD_1;;;0mm;;;
51;;PB12/SPI2_;;;;;51;;;Passive;;1;;True;;True;;PB12/SPI2_NSS/I2;;;0mm;;;
;;NSS/I2S2_;;;;;;;;;;;;;;;;S2_WS/I2C2_SMB;;;;;;
;;WS/I2C2_S;;;;;;;;;;;;;;;;A/USART3_CK/TIM;;;;;;
;;MBA/USAR;;;;;;;;;;;;;;;;1_BKIN (5V);;;;;;
;;T3_CK/TIM;;;;;;;;;;;;;;;;;;;;;;
;;1_BKIN;;;;;;;;;;;;;;;;;;;;;;
;;(5V);;;;;;;;;;;;;;;;;;;;;;
52;;PB13/SPI2_;;;;;52;;;Passive;;1;;True;;True;;PB13/SPI2_SCK/I2;;;0mm;;;
;;SCK/I2S2_;;;;;;;;;;;;;;;;S2_CK/USART3_C;;;;;;
;;CK/USART;;;;;;;;;;;;;;;;TS/TIM1_CH1N;;;;;;
;;3_CTS/TIM;;;;;;;;;;;;;;;;(5V);;;;;;
;;1_CH1N;;;;;;;;;;;;;;;;;;;;;;
;;(5V);;;;;;;;;;;;;;;;;;;;;;
53;;PB14/SPI2_;;;;;53;;;Passive;;1;;True;;True;;PB14/SPI2_MISO/;;;0mm;;;
;;MISO/TIM1;;;;;;;;;;;;;;;;TIM1_CH2N/USAR;;;;;;
;;_CH2N/US;;;;;;;;;;;;;;;;T3_RTS;;;;;;
;;ART3_RTS;;;;;;;;;;;;;;;;;;;;;;
54;;PB15/SPI2_;;;;;54;;;Passive;;1;;True;;True;;PB15/SPI2_MOSI/I;;;0mm;;;
;;MOSI/I2S2_;;;;;;;;;;;;;;;;2S2_SD/TIM1_CH3;;;;;;
;;SD/TIM1_C;;;;;;;;;;;;;;;;N;;;;;;
;;H3N;;;;;;;;;;;;;;;;;;;;;;
55;;PD8/FSMC;;;;;55;;;Passive;;1;;True;;True;;PD8/FSMC_D13//U;;;0mm;;;
;;_D13//USA;;;;;;;;;;;;;;;;SART3_TX (5V);;;;;;
;;RT3_TX;;;;;;;;;;;;;;;;;;;;;;
;;(5V);;;;;;;;;;;;;;;;;;;;;;
56;;PD9/FSMC;;;;;56;;;Passive;;1;;True;;True;;PD9/FSMC_D14//U;;;0mm;;;
;;_D14//USA;;;;;;;;;;;;;;;;SART3_RX (5V);;;;;;
;;RT3_RX;;;;;;;;;;;;;;;;;;;;;;
;;(5V);;;;;;;;;;;;;;;;;;;;;;
57;;PD10/FSM;;;;;57;;;Passive;;1;;True;;True;;PD10/FSMC_D15//;;;0mm;;;
;;C_D15//US;;;;;;;;;;;;;;;;USART3_CK (5V);;;;;;
;;ART3_CK;;;;;;;;;;;;;;;;;;;;;;
;;(5V);;;;;;;;;;;;;;;;;;;;;;
58;;PD11/FSM;;;;;58;;;Passive;;1;;True;;True;;PD11/FSMC_A16//;;;0mm;;;
;;;;;;;;;;;;;;;;;;;;;;;;
понедельник 22-окт-22.2018   10:15:39 AM;;;;;;;;;;;;;;;;;;;;;;;Page 3 of 6;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Designator;;Name;Desc;;;;LQPF100_A;;;Type;;Owner;;Show;;Number;;Name;;;Pin/Pkg Length;;;
;;C_A16//US;;;;;;;;;;;;;;;;USART3_CTS (5V);;;;;;
;;ART3_CTS;;;;;;;;;;;;;;;;;;;;;;
;;(5V);;;;;;;;;;;;;;;;;;;;;;
59;;PD12/FSM;;;;;59;;;Passive;;1;;True;;True;;PD12/FSMC_A17//;;;0mm;;;
;;C_A17//TIM;;;;;;;;;;;;;;;;TIM4_CH1/USART;;;;;;
;;4_CH1/USA;;;;;;;;;;;;;;;;3_RTS (5V);;;;;;
;;RT3_RTS;;;;;;;;;;;;;;;;;;;;;;
;;(5V);;;;;;;;;;;;;;;;;;;;;;
60;;PD13/FSM;;;;;60;;;Passive;;1;;True;;True;;PD13/FSMC_A18//;;;0mm;;;
;;C_A18//TIM;;;;;;;;;;;;;;;;TIM4_CH2 (5V);;;;;;
;;4_CH2 (5V);;;;;;;;;;;;;;;;;;;;;;
61;;PD14/FSM;;;;;61;;;Passive;;1;;True;;True;;PD14/FSMC_D0//T;;;0mm;;;
;;C_D0//TIM4;;;;;;;;;;;;;;;;IM4_CH3 (5V);;;;;;
;;_CH3 (5V);;;;;;;;;;;;;;;;;;;;;;
62;;PD15/FSM;;;;;62;;;Passive;;1;;True;;True;;PD15/FSMC_D1//T;;;0mm;;;
;;C_D1//TIM4;;;;;;;;;;;;;;;;IM4_CH4 (5V);;;;;;
;;_CH4 (5V);;;;;;;;;;;;;;;;;;;;;;
63;;PC6/I2S2_;;;;;63;;;Passive;;1;;True;;True;;PC6/I2S2_MCK/TI;;;0mm;;;
;;MCK/TIM8_;;;;;;;;;;;;;;;;M8_CH1/SDIO_D6/;;;;;;
;;CH1/SDIO_;;;;;;;;;;;;;;;;/TIM3_CH1 (5V);;;;;;
;;D6//TIM3_C;;;;;;;;;;;;;;;;;;;;;;
;;H1 (5V);;;;;;;;;;;;;;;;;;;;;;
64;;PC7/I2S3_;;;;;64;;;Passive;;1;;True;;True;;PC7/I2S3_MCK/TI;;;0mm;;;
;;MCK/TIM8_;;;;;;;;;;;;;;;;M8_CH2/SDIO_D7/;;;;;;
;;CH2/SDIO_;;;;;;;;;;;;;;;;/TIM3_CH2 (5V);;;;;;
;;D7//TIM3_C;;;;;;;;;;;;;;;;;;;;;;
;;H2 (5V);;;;;;;;;;;;;;;;;;;;;;
65;;PC8/TIM8_;;;;;65;;;Passive;;1;;True;;True;;PC8/TIM8_CH3/SD;;;0mm;;;
;;CH3/SDIO_;;;;;;;;;;;;;;;;IO_D0//TIM3_CH3;;;;;;
;;D0//TIM3_C;;;;;;;;;;;;;;;;(5V);;;;;;
;;H3 (5V);;;;;;;;;;;;;;;;;;;;;;
66;;PC9/TIM8_;;;;;66;;;Passive;;1;;True;;True;;PC9/TIM8_CH4/SD;;;0mm;;;
;;CH4/SDIO_;;;;;;;;;;;;;;;;IO_D1//TIM3_CH4;;;;;;
;;D1//TIM3_C;;;;;;;;;;;;;;;;(5V);;;;;;
;;H4 (5V);;;;;;;;;;;;;;;;;;;;;;
67;;PA8/USART;;;;;67;;;Passive;;1;;True;;True;;PA8/USART1_CK/;;;0mm;;;
;;1_CK/TIM1;;;;;;;;;;;;;;;;TIM1_CH1/MCO;;;;;;
;;_CH1/MCO;;;;;;;;;;;;;;;;(5V);;;;;;
;;(5V);;;;;;;;;;;;;;;;;;;;;;
68;;PA9/USART;;;;;68;;;Passive;;1;;True;;True;;PA9/USART1_TX/T;;;0mm;;;
;;1_TX/TIM1_;;;;;;;;;;;;;;;;IM1_CH2 (5V);;;;;;
;;CH2 (5V);;;;;;;;;;;;;;;;;;;;;;
69;;PA10/USAR;;;;;69;;;Passive;;1;;True;;True;;PA10/USART1_RX;;;0mm;;;
;;T1_RX/TIM;;;;;;;;;;;;;;;;/TIM1_CH3 (5V);;;;;;
;;1_CH3 (5V);;;;;;;;;;;;;;;;;;;;;;
70;;PA11/USAR;;;;;70;;;Passive;;1;;True;;True;;PA11/USART1_CT;;;0mm;;;
;;T1_CTS/US;;;;;;;;;;;;;;;;S/USBDM/CAN_RX;;;;;;
;;BDM/CAN_;;;;;;;;;;;;;;;;/TIM1_CH4 (5V);;;;;;
;;RX/TIM1_C;;;;;;;;;;;;;;;;;;;;;;
;;H4 (5V);;;;;;;;;;;;;;;;;;;;;;
71;;PA12/USAR;;;;;71;;;Passive;;1;;True;;True;;PA12/USART1_RT;;;0mm;;;
;;T1_RTS/US;;;;;;;;;;;;;;;;S/USBDP/CAN_TX;;;;;;
;;BDP/CAN_;;;;;;;;;;;;;;;;/TIM1_ETR (5V);;;;;;
;;TX/TIM1_E;;;;;;;;;;;;;;;;;;;;;;
;;TR (5V);;;;;;;;;;;;;;;;;;;;;;
72;;PA13/JTMS;;;;;72;;;Passive;;1;;True;;True;;PA13/JTMSSWDIO;;;0mm;;;
;;SWDIO//(5V;;;;;;;;;;;;;;;;//(5V);;;;;;
;;);;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
понедельник 22-окт-22.2018   10:15:39 AM;;;;;;;;;;;;;;;;;;;;;;;Page 4 of 6;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Designator;;Name;Desc;;;;LQPF100_A;;;Type;;Owner;;Show;;Number;;Name;;;Pin/Pkg Length;;;
73;;NC;;;;;73;;;Passive;;1;;True;;True;;NC;;;0mm;;;
74;;VSS_2;;;;;74;;;Passive;;1;;True;;True;;VSS_2;;;0mm;;;
75;;VDD_2;;;;;75;;;Passive;;1;;True;;True;;VDD_2;;;0mm;;;
76;;PA14/JTCK;;;;;76;;;Passive;;1;;True;;True;;PA14/JTCKSWCLK;;;0mm;;;
;;SWCLK;;;;;;;;;;;;;;;;(5V);;;;;;
;;(5V);;;;;;;;;;;;;;;;;;;;;;
77;;PA15/JTDI/;;;;;77;;;Passive;;1;;True;;True;;PA15/JTDI/SPI3_N;;;0mm;;;
;;SPI3_NSS/I;;;;;;;;;;;;;;;;SS/I2S3_WS//TIM2;;;;;;
;;2S3_WS//TI;;;;;;;;;;;;;;;;_CH1_ETR/PA15/S;;;;;;
;;M2_CH1_E;;;;;;;;;;;;;;;;PI1_NSS (5V);;;;;;
;;TR/PA15/S;;;;;;;;;;;;;;;;;;;;;;
;;PI1_NSS;;;;;;;;;;;;;;;;;;;;;;
;;(5V);;;;;;;;;;;;;;;;;;;;;;
78;;PC10/UART;;;;;78;;;Passive;;1;;True;;True;;PC10/UART4_TX/S;;;0mm;;;
;;4_TX/SDIO;;;;;;;;;;;;;;;;DIO_D2//USART3_;;;;;;
;;_D2//USAR;;;;;;;;;;;;;;;;TX (5V);;;;;;
;;T3_TX (5V);;;;;;;;;;;;;;;;;;;;;;
79;;PC11/UART;;;;;79;;;Passive;;1;;True;;True;;PC11/UART4_RX/;;;0mm;;;
;;4_RX/SDIO;;;;;;;;;;;;;;;;SDIO_D3//USART3;;;;;;
;;_D3//USAR;;;;;;;;;;;;;;;;_RX (5V);;;;;;
;;T3_RX (5V);;;;;;;;;;;;;;;;;;;;;;
80;;PC12/UART;;;;;80;;;Passive;;1;;True;;True;;PC12/UART5_TX/S;;;0mm;;;
;;5_TX/SDIO;;;;;;;;;;;;;;;;DIO_CK//USART3_;;;;;;
;;_CK//USAR;;;;;;;;;;;;;;;;CK (5V);;;;;;
;;T3_CK (5V);;;;;;;;;;;;;;;;;;;;;;
81;;PD0/OSC_I;;;;;81;;;Passive;;1;;True;;True;;PD0/OSC_IN/FSM;;;0mm;;;
;;N/FSMC_D;;;;;;;;;;;;;;;;C_D2//CAN_RX;;;;;;
;;2//CAN_RX;;;;;;;;;;;;;;;;(5V);;;;;;
;;(5V);;;;;;;;;;;;;;;;;;;;;;
82;;PD1/OSC_;;;;;82;;;Passive;;1;;True;;True;;PD1/OSC_OUT/FS;;;0mm;;;
;;OUT/FSMC;;;;;;;;;;;;;;;;MC_D3//CAN_TX;;;;;;
;;_D3//CAN_;;;;;;;;;;;;;;;;(5V);;;;;;
;;TX (5V);;;;;;;;;;;;;;;;;;;;;;
83;;PD2/TIM3_;;;;;83;;;Passive;;1;;True;;True;;PD2/TIM3_ETR/UA;;;0mm;;;
;;ETR/UART5;;;;;;;;;;;;;;;;RT5_RX/SDIO_CM;;;;;;
;;_RX/SDIO_;;;;;;;;;;;;;;;;D (5V);;;;;;
;;CMD (5V);;;;;;;;;;;;;;;;;;;;;;
84;;PD3/FSMC;;;;;84;;;Passive;;1;;True;;True;;PD3/FSMC_CLK//U;;;0mm;;;
;;_CLK//USA;;;;;;;;;;;;;;;;SART2_CTS (5V);;;;;;
;;RT2_CTS;;;;;;;;;;;;;;;;;;;;;;
;;(5V);;;;;;;;;;;;;;;;;;;;;;
85;;PD4/FSMC;;;;;85;;;Passive;;1;;True;;True;;PD4/FSMC_NOE//;;;0mm;;;
;;_NOE//USA;;;;;;;;;;;;;;;;USART2_RTS (5V);;;;;;
;;RT2_RTS;;;;;;;;;;;;;;;;;;;;;;
;;(5V);;;;;;;;;;;;;;;;;;;;;;
86;;PD5/FSMC;;;;;86;;;Passive;;1;;True;;True;;PD5/FSMC_NWE//;;;0mm;;;
;;_NWE//USA;;;;;;;;;;;;;;;;USART2_TX (5V);;;;;;
;;RT2_TX;;;;;;;;;;;;;;;;;;;;;;
;;(5V);;;;;;;;;;;;;;;;;;;;;;
87;;PD6/FSMC;;;;;87;;;Passive;;1;;True;;True;;PD6/FSMC_NWAI;;;0mm;;;
;;_NWAIT//U;;;;;;;;;;;;;;;;T//USART2_RX;;;;;;
;;SART2_RX;;;;;;;;;;;;;;;;(5V);;;;;;
;;(5V);;;;;;;;;;;;;;;;;;;;;;
88;;PD7/FSMC;;;;;88;;;Passive;;1;;True;;True;;PD7/FSMC_NE1/F;;;0mm;;;
;;_NE1/FSM;;;;;;;;;;;;;;;;SMC_NCE2//USAR;;;;;;
;;C_NCE2//U;;;;;;;;;;;;;;;;T2_CK (5V);;;;;;
;;SART2_CK;;;;;;;;;;;;;;;;;;;;;;
;;(5V);;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
понедельник 22-окт-22.2018   10:15:39 AM;;;;;;;;;;;;;;;;;;;;;;;Page 5 of 6;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Designator;;Name;Desc;;;;LQPF100_A;;;Type;;Owner;;Show;;Number;;Name;;;Pin/Pkg Length;;;
89;;PB3/JTDO/;;;;;89;;;Passive;;1;;True;;True;;PB3/JTDO/SPI3_S;;;0mm;;;
;;SPI3_SCK/I;;;;;;;;;;;;;;;;CK/I2S3_CK//TRA;;;;;;
;;2S3_CK//T;;;;;;;;;;;;;;;;CESWO/TIM2_CH;;;;;;
;;RACESWO/;;;;;;;;;;;;;;;;2/SPI1_SCK (5V);;;;;;
;;TIM2_CH2/;;;;;;;;;;;;;;;;;;;;;;
;;SPI1_SCK;;;;;;;;;;;;;;;;;;;;;;
;;(5V);;;;;;;;;;;;;;;;;;;;;;
90;;PB4/NJTRS;;;;;90;;;Passive;;1;;True;;True;;PB4/NJTRST/SPI3;;;0mm;;;
