;;;;;;;;;;;;;;;;;;;;;;;
Report Generated From Altium Designer;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
Designator;;Name;;;;Desc;;;LQFP100_A;;;Type;;Owner;Show;;Number;;Name;;Pin/Pkg Length;;
10;;PF9/[TIM20_BKIN/TIM15_CH1/SPI2_;;;;;;;10;;;Passive;;1;True;;True;;PF9/[TIM20_BKI;;0mm;;
;;SCK][*];;;;;;;;;;;;;;;;;N/TIM15_CH1/S;;;;
;;;;;;;;;;;;;;;;;;;PI2_SCK][*];;;;
11;;PF10/[TIM20_BKIN2/TIM15_CH2/SPI;;;;;;;11;;;Passive;;1;True;;True;;PF10/[TIM20_BK;;0mm;;
;;2_SCK][*];;;;;;;;;;;;;;;;;IN2/TIM15_CH2/;;;;
;;;;;;;;;;;;;;;;;;;SPI2_SCK][*];;;;
12;;PF0/(OSC_IN)[TIM1_CH3N/I2C2_SD;;;;;;;12;;;Passive;;1;True;;True;;PF0/(OSC_IN)[TI;;0mm;;
;;A/SPI2_NSS/I2S2_WS];;;;;;;;;;;;;;;;;M1_CH3N/I2C2_;;;;
;;;;;;;;;;;;;;;;;;;SDA/SPI2_NSS/I;;;;
;;;;;;;;;;;;;;;;;;;2S2_WS];;;;
13;;PF1/(OSC_OUT)[I2C2_SCL/SPI2_S;;;;;;;13;;;Passive;;1;True;;True;;PF1/(OSC_OUT);;0mm;;
;;CK/I2S2_CK];;;;;;;;;;;;;;;;;[I2C2_SCL/SPI2;;;;
;;;;;;;;;;;;;;;;;;;_SCK/I2S2_CK];;;;
14;;NRST;;;;;;;14;;;Passive;;1;True;;True;;NRST;;0mm;;
15;;PC0/(ADC12_IN6/COMP7_INM)[TIM;;;;;;;15;;;Passive;;1;True;;True;;PC0/(ADC12_IN;;0mm;;
;;1_CH1];;;;;;;;;;;;;;;;;6/COMP7_INM)[;;;;
;;;;;;;;;;;;;;;;;;;TIM1_CH1];;;;
16;;PC1/(ADC12_IN7/COMP7_INP)[TIM1;;;;;;;16;;;Passive;;1;True;;True;;PC1/(ADC12_IN;;0mm;;
;;_CH2];;;;;;;;;;;;;;;;;7/COMP7_INP)[;;;;
;;;;;;;;;;;;;;;;;;;TIM1_CH2];;;;
17;;PC2/(ADC12_IN8)[COMP7_OUT/TIM;;;;;;;17;;;Passive;;1;True;;True;;PC2/(ADC12_IN;;0mm;;
;;;;;;;;;;;;;;;;;;;;;;;
среда 24-окт-24.2018   12:07:31 PM;;;;;;;;;;;;;;;;;;;;;;;Page 1 of 8
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
Designator;;Name;;;;Desc;;;LQFP100_A;;;Type;;Owner;Show;;Number;;Name;;Pin/Pkg Length;;
;;1_CH3];;;;;;;;;;;;;;;;;8)[COMP7_OUT/;;;;
;;;;;;;;;;;;;;;;;;;TIM1_CH3];;;;
18;;PC3/(ADC12_IN9)[TIM1_BKIN2/TIM1;;;;;;;18;;;Passive;;1;True;;True;;PC3/(ADC12_IN;;0mm;;
;;_CH4];;;;;;;;;;;;;;;;;9)[TIM1_BKIN2/;;;;
;;;;;;;;;;;;;;;;;;;TIM1_CH4];;;;
19;;PF2/(ADC12_IN10)[TIM20_CH3];;;;;;;19;;;Passive;;1;True;;True;;PF2/(ADC12_IN;;0mm;;
;;;;;;;;;;;;;;;;;;;10)[TIM20_CH3];;;;
20;;VSSA;;;;;;;20;;;Passive;;1;True;;True;;VSSA;;0mm;;
21;;VREF+;;;;;;;21;;;Passive;;1;True;;True;;VREF+;;0mm;;
22;;VDDA;;;;;;;22;;;Passive;;1;True;;True;;VDDA;;0mm;;
23;;PA0/(ADC1_IN1/COMP1_INM/RTC_;;;;;;;23;;;Passive;;1;True;;True;;PA0/(ADC1_IN1/;;0mm;;
;;TAMP2/WKUP1)[USART2_CTS/TIM;;;;;;;;;;;;;;;;;COMP1_INM/RT;;;;
;;2_CH1_ETR/TIM8_BKIN/TIM8_ETR/;;;;;;;;;;;;;;;;;C_TAMP2/WKU;;;;
;;TSC_G1_IO1/COMP1_OUT];;;;;;;;;;;;;;;;;P1)[USART2_CT;;;;
;;;;;;;;;;;;;;;;;;;S/TIM2_CH1_ET;;;;
;;;;;;;;;;;;;;;;;;;R/TIM8_BKIN/TI;;;;
;;;;;;;;;;;;;;;;;;;M8_ETR/TSC_G;;;;
;;;;;;;;;;;;;;;;;;;1_IO1/COMP1_;;;;
;;;;;;;;;;;;;;;;;;;OUT];;;;
24;;PA1/(ADC1_IN2/COMP1_INP/OPAM;;;;;;;24;;;Passive;;1;True;;True;;PA1/(ADC1_IN2/;;0mm;;
;;P1_VINP/OPAMP3_VINP)[USART2_;;;;;;;;;;;;;;;;;COMP1_INP/OP;;;;
;;RTS_DE/TIM2_CH2/TSC_G1_IO2/TI;;;;;;;;;;;;;;;;;AMP1_VINP/OP;;;;
;;M15_CH1N/RTC_REFIN];;;;;;;;;;;;;;;;;AMP3_VINP)[US;;;;
;;;;;;;;;;;;;;;;;;;ART2_RTS_DE/;;;;
;;;;;;;;;;;;;;;;;;;TIM2_CH2/TSC_;;;;
;;;;;;;;;;;;;;;;;;;G1_IO2/TIM15_;;;;
;;;;;;;;;;;;;;;;;;;CH1N/RTC_REF;;;;
;;;;;;;;;;;;;;;;;;;IN];;;;
25;;PA2/(ADC1_IN3/COMP2_INM/OPAM;;;;;;;25;;;Passive;;1;True;;True;;PA2/(ADC1_IN3/;;0mm;;
;;P1_VOUT)[USART2_TX/TIM2_CH3/;;;;;;;;;;;;;;;;;COMP2_INM/OP;;;;
;;TIM15_CH1/TSC_G1_IO3/COMP2_;;;;;;;;;;;;;;;;;AMP1_VOUT)[U;;;;
;;OUT];;;;;;;;;;;;;;;;;SART2_TX/TIM2;;;;
;;;;;;;;;;;;;;;;;;;_CH3/TIM15_CH;;;;
;;;;;;;;;;;;;;;;;;;1/TSC_G1_IO3/;;;;
;;;;;;;;;;;;;;;;;;;COMP2_OUT];;;;
26;;PA3/(ADC1_IN4/OPAMP1_VINP/OP;;;;;;;26;;;Passive;;1;True;;True;;PA3/(ADC1_IN4/;;0mm;;
;;AMP1_VINM)[USART2_RX/TIM2_CH;;;;;;;;;;;;;;;;;OPAMP1_VINP/;;;;
;;4/TIM15_CH2/TSC_G1_IO4];;;;;;;;;;;;;;;;;OPAMP1_VINM);;;;
;;;;;;;;;;;;;;;;;;;[USART2_RX/TI;;;;
;;;;;;;;;;;;;;;;;;;M2_CH4/TIM15_;;;;
;;;;;;;;;;;;;;;;;;;CH2/TSC_G1_I;;;;
;;;;;;;;;;;;;;;;;;;O4];;;;
27;;VSS;;;;;;;27;;;Passive;;1;True;;True;;VSS;;0mm;;
28;;VDD;;;;;;;28;;;Passive;;1;True;;True;;VDD;;0mm;;
29;;PA4/(ADC2_IN1/DAC1_OUT1/OPAM;;;;;;;29;;;Passive;;1;True;;True;;PA4/(ADC2_IN1/;;0mm;;
;;P4_VINP/COMP1_INM/COMP2_INM/;;;;;;;;;;;;;;;;;DAC1_OUT1/OP;;;;
;;COMP3_INM/COMP4_INM/COMP5_I;;;;;;;;;;;;;;;;;AMP4_VINP/CO;;;;
;;NM/COMP6_INM/COMP7_INM);;;;;;;;;;;;;;;;;MP1_INM/COMP;;;;
;;;;;;;;;;;;;;;;;;;2_INM/COMP3_I;;;;
;;;;;;;;;;;;;;;;;;;NM/COMP4_IN;;;;
;;;;;;;;;;;;;;;;;;;M/COMP5_INM/;;;;
;;;;;;;;;;;;;;;;;;;COMP6_INM/CO;;;;
;;;;;;;;;;;;;;;;;;;MP7_INM);;;;
30;;PA5/(ADC2_IN2/DAC1_OUT2/OPAM;;;;;;;30;;;Passive;;1;True;;True;;PA5/(ADC2_IN2/;;0mm;;
;;P1_VINP/OPAMP2_VINM/OPAMP3_;;;;;;;;;;;;;;;;;DAC1_OUT2/OP;;;;
;;VINP/COMP1_INM/COMP2_INM/CO;;;;;;;;;;;;;;;;;AMP1_VINP/OP;;;;
;;MP3_INM/COMP4_INM/COMP5_IN;;;;;;;;;;;;;;;;;AMP2_VINM/OP;;;;
;;M/;;;;;;;;;;;;;;;;;AMP3_VINP/CO;;;;
;;;;;;;;;;;;;;;;;;;;;;;
среда 24-окт-24.2018   12:07:31 PM;;;;;;;;;;;;;;;;;;;;;;;Page 2 of 8
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
Designator;;Name;;;;Desc;;;LQFP100_A;;;Type;;Owner;Show;;Number;;Name;;Pin/Pkg Length;;
;;;;;;;;;;;;;;;;;;;MP1_INM/COMP;;;;
;;;;;;;;;;;;;;;;;;;2_INM/COMP3_I;;;;
;;;;;;;;;;;;;;;;;;;NM/COMP4_IN;;;;
;;;;;;;;;;;;;;;;;;;M/COMP5_INM/;;;;
31;;PA6/(ADC2_IN3/OPAMP2_VOUT)[S;;;;;;;31;;;Passive;;1;True;;True;;PA6/(ADC2_IN3/;;0mm;;
;;PI1_MISO/TIM3_CH1/TIM8_BKIN/TI;;;;;;;;;;;;;;;;;OPAMP2_VOUT;;;;
;;M1_BKIN/TIM16_CH1/COMP1_OUT/;;;;;;;;;;;;;;;;;)[SPI1_MISO/TI;;;;
;;TSC_G2_IO3];;;;;;;;;;;;;;;;;M3_CH1/TIM8_B;;;;
;;;;;;;;;;;;;;;;;;;KIN/TIM1_BKIN/;;;;
;;;;;;;;;;;;;;;;;;;TIM16_CH1/CO;;;;
;;;;;;;;;;;;;;;;;;;MP1_OUT/TSC_;;;;
;;;;;;;;;;;;;;;;;;;G2_IO3];;;;
32;;PA7/(ADC2_IN4/COMP2_INP/OPAM;;;;;;;32;;;Passive;;1;True;;True;;PA7/(ADC2_IN4/;;0mm;;
;;P2_VINP/OPAMP1_VINP)[SPI1_MO;;;;;;;;;;;;;;;;;COMP2_INP/OP;;;;
;;SI/TIM3_CH2/TIM17_CH1/TIM1_CH1;;;;;;;;;;;;;;;;;AMP2_VINP/OP;;;;
;;N/TIM8_CH1N/TSC_G2_IO4/COMP2;;;;;;;;;;;;;;;;;AMP1_VINP)[SP;;;;
;;_OUT];;;;;;;;;;;;;;;;;I1_MOSI/TIM3_;;;;
;;;;;;;;;;;;;;;;;;;CH2/TIM17_CH1;;;;
;;;;;;;;;;;;;;;;;;;/TIM1_CH1N/TI;;;;
;;;;;;;;;;;;;;;;;;;M8_CH1N/TSC_;;;;
;;;;;;;;;;;;;;;;;;;G2_IO4/COMP2;;;;
;;;;;;;;;;;;;;;;;;;_OUT];;;;
33;;PC4/(ADC2_IN5)[USART1_TX/TIM1_;;;;;;;33;;;Passive;;1;True;;True;;PC4/(ADC2_IN5);;0mm;;
;;ETR];;;;;;;;;;;;;;;;;[USART1_TX/TI;;;;
;;;;;;;;;;;;;;;;;;;M1_ETR];;;;
34;;PC5/(ADC2_IN11/OPAMP2_VINM/O;;;;;;;34;;;Passive;;1;True;;True;;PC5/(ADC2_IN1;;0mm;;
;;PAMP1_VINM)[USART1_RX/TSC_G;;;;;;;;;;;;;;;;;1/OPAMP2_VIN;;;;
;;3_IO1/TIM15_BKIN];;;;;;;;;;;;;;;;;M/OPAMP1_VIN;;;;
;;;;;;;;;;;;;;;;;;;M)[USART1_RX/;;;;
;;;;;;;;;;;;;;;;;;;TSC_G3_IO1/TI;;;;
;;;;;;;;;;;;;;;;;;;M15_BKIN];;;;
35;;PB0/(ADC3_IN12/COMP4_INP/OPA;;;;;;;35;;;Passive;;1;True;;True;;PB0/(ADC3_IN1;;0mm;;
;;MP3_VINP/OPAMP2_VINP)[TIM3_C;;;;;;;;;;;;;;;;;2/COMP4_INP/O;;;;
;;H3/TIM1_CH2N/TIM8_CH2N/TSC_G;;;;;;;;;;;;;;;;;PAMP3_VINP/O;;;;
;;3_IO2];;;;;;;;;;;;;;;;;PAMP2_VINP)[T;;;;
;;;;;;;;;;;;;;;;;;;IM3_CH3/TIM1_;;;;
;;;;;;;;;;;;;;;;;;;CH2N/TIM8_CH;;;;
;;;;;;;;;;;;;;;;;;;2N/TSC_G3_IO2;;;;
;;;;;;;;;;;;;;;;;;;];;;;
36;;PB1/(ADC3_IN1/OPAMP3_VOUT)[TI;;;;;;;36;;;Passive;;1;True;;True;;PB1/(ADC3_IN1/;;0mm;;
;;M3_CH4/TIM1_CH3N/TIM8_CH3N/C;;;;;;;;;;;;;;;;;OPAMP3_VOUT;;;;
;;OMP4_OUT/TSC_G3_IO3];;;;;;;;;;;;;;;;;)[TIM3_CH4/TIM;;;;
;;;;;;;;;;;;;;;;;;;1_CH3N/TIM8_C;;;;
;;;;;;;;;;;;;;;;;;;H3N/COMP4_O;;;;
;;;;;;;;;;;;;;;;;;;UT/TSC_G3_IO3;;;;
;;;;;;;;;;;;;;;;;;;];;;;
37;;PB2/(ADC2_IN12/COMP4_INM/OPA;;;;;;;37;;;Passive;;1;True;;True;;PB2/(ADC2_IN1;;0mm;;
;;MP3_VINM)[TSC_G3_IO4];;;;;;;;;;;;;;;;;2/COMP4_INM/;;;;
;;;;;;;;;;;;;;;;;;;OPAMP3_VINM);;;;
;;;;;;;;;;;;;;;;;;;[TSC_G3_IO4];;;;
38;;PE7/( ADC3_IN13)[TIM1_ETR];;;;;;;38;;;Passive;;1;True;;True;;PE7/(ADC3_IN1;;0mm;;
;;;;;;;;;;;;;;;;;;;3)[TIM1_ETR];;;;
39;;PE8/(COMP4_INM/ADC34_IN6)[TIM;;;;;;;39;;;Passive;;1;True;;True;;PE8/(COMP4_IN;;0mm;;
;;1_CH1N];;;;;;;;;;;;;;;;;M/ADC34_IN6)[T;;;;
;;;;;;;;;;;;;;;;;;;IM1_CH1N];;;;
40;;PE9/(ADC3_IN2)[TIM1_CH1];;;;;;;40;;;Passive;;1;True;;True;;PE9/(ADC3_IN2);;0mm;;
;;;;;;;;;;;;;;;;;;;[TIM1_CH1];;;;
41;;PE10/(ADC3_IN14)[TIM1_CH2N];;;;;;;41;;;Passive;;1;True;;True;;PE10/(ADC3_IN;;0mm;;
;;;;;;;;;;;;;;;;;;;;;;;
среда 24-окт-24.2018   12:07:31 PM;;;;;;;;;;;;;;;;;;;;;;;Page 3 of 8
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
Designator;;Name;;;;Desc;;;LQFP100_A;;;Type;;Owner;Show;;Number;;Name;;Pin/Pkg Length;;
;;;;;;;;;;;;;;;;;;;14)[TIM1_CH2N];;;;
42;;PE11/(ADC3_IN15)[TIM1_CH2/SPI4;;;;;;;42;;;Passive;;1;True;;True;;PE11/(ADC3_IN;;0mm;;
;;_NSS];;;;;;;;;;;;;;;;;15)[TIM1_CH2/S;;;;
;;;;;;;;;;;;;;;;;;;PI4_NSS];;;;
43;;PE12/(ADC3_IN16)[TIM3_CH3N/SPI;;;;;;;43;;;Passive;;1;True;;True;;PE12/(ADC3_IN;;0mm;;
;;4_SCK];;;;;;;;;;;;;;;;;16)[TIM3_CH3N/;;;;
;;;;;;;;;;;;;;;;;;;SPI4_SCK];;;;
44;;PE13/(ADC3_IN3)[TIM1_CH3/SPI4_;;;;;;;44;;;Passive;;1;True;;True;;PE13/(ADC3_IN;;0mm;;
;;MISO];;;;;;;;;;;;;;;;;3)[TIM1_CH3/SP;;;;
;;;;;;;;;;;;;;;;;;;I4_MISO];;;;
45;;PE14/(ADC4_IN1)[TIM1_CH4/TIM1_;;;;;;;45;;;Passive;;1;True;;True;;PE14/(ADC4_IN;;0mm;;
;;BKIN2/SPI4_MOSI];;;;;;;;;;;;;;;;;1)[TIM1_CH4/TI;;;;
;;;;;;;;;;;;;;;;;;;M1_BKIN2/SPI4;;;;
;;;;;;;;;;;;;;;;;;;_MOSI];;;;
46;;PE15/(ADC4_IN2)[USART3_RX/TIM;;;;;;;46;;;Passive;;1;True;;True;;PE15/(ADC4_IN;;0mm;;
;;1_BKIN];;;;;;;;;;;;;;;;;2)[USART3_RX/;;;;
;;;;;;;;;;;;;;;;;;;TIM1_BKIN];;;;
47;;PB10/(COMP5_INM/OPAMP4_VINM/;;;;;;;47;;;Passive;;1;True;;True;;PB10/(COMP5_I;;0mm;;
;;OPAMP3_VINM)[USART3_TX/TIM2_;;;;;;;;;;;;;;;;;NM/OPAMP4_VI;;;;
;;CH3/TSC_SYNC];;;;;;;;;;;;;;;;;NM/OPAMP3_VI;;;;
;;;;;;;;;;;;;;;;;;;NM)[USART3_T;;;;
;;;;;;;;;;;;;;;;;;;X/TIM2_CH3/TS;;;;
;;;;;;;;;;;;;;;;;;;C_SYNC];;;;
48;;PB11/(ADC12_IN14/COMP6_INP/OP;;;;;;;48;;;Passive;;1;True;;True;;PB11/(ADC12_I;;0mm;;
;;AMP4_VINP)[USART3_RX/TIM2_CH;;;;;;;;;;;;;;;;;N14/COMP6_IN;;;;
;;4/TSC_G6_IO1];;;;;;;;;;;;;;;;;P/OPAMP4_VIN;;;;
;;;;;;;;;;;;;;;;;;;P)[USART3_RX/;;;;
;;;;;;;;;;;;;;;;;;;TIM2_CH4/TSC_;;;;
;;;;;;;;;;;;;;;;;;;G6_IO1];;;;
49;;VSS;;;;;;;49;;;Passive;;1;True;;True;;VSS;;0mm;;
50;;VDD;;;;;;;50;;;Passive;;1;True;;True;;VDD;;0mm;;
51;;PB12/(ADC4_IN3/COMP3_INM/OPA;;;;;;;51;;;Passive;;1;True;;True;;PB12/(ADC4_IN;;0mm;;
;;MP4_VOUT)[SPI2_NSS/I2S2_WS/I2;;;;;;;;;;;;;;;;;3/COMP3_INM/;;;;
;;C2_SMBAL/USART3_CK/TIM1_BKI;;;;;;;;;;;;;;;;;OPAMP4_VOUT;;;;
;;N/TSC_G6_IO2];;;;;;;;;;;;;;;;;)[SPI2_NSS/I2S;;;;
;;;;;;;;;;;;;;;;;;;2_WS/I2C2_SM;;;;
;;;;;;;;;;;;;;;;;;;BAL/USART3_C;;;;
;;;;;;;;;;;;;;;;;;;K/TIM1_BKIN/TS;;;;
;;;;;;;;;;;;;;;;;;;C_G6_IO2];;;;
52;;PB13/(ADC3_IN5/COMP5_INP/OPA;;;;;;;52;;;Passive;;1;True;;True;;PB13/(ADC3_IN;;0mm;;
;;MP4_VINP/OPAMP3_VINP)[SPI2_S;;;;;;;;;;;;;;;;;5/COMP5_INP/O;;;;
;;CK/I2S2_CK/USART3_CTS/TIM1_C;;;;;;;;;;;;;;;;;PAMP4_VINP/O;;;;
;;H1N/TSC_G6_IO3];;;;;;;;;;;;;;;;;PAMP3_VINP)[S;;;;
;;;;;;;;;;;;;;;;;;;PI2_SCK/I2S2_;;;;
;;;;;;;;;;;;;;;;;;;CK/USART3_CT;;;;
;;;;;;;;;;;;;;;;;;;S/TIM1_CH1N/T;;;;
;;;;;;;;;;;;;;;;;;;SC_G6_IO3];;;;
53;;PB14/(ADC4_IN4/COMP3_INP/OPA;;;;;;;53;;;Passive;;1;True;;True;;PB14/(ADC4_IN;;0mm;;
;;MP2_VINP)[SPI2_MISO/I2S2ext_SD/;;;;;;;;;;;;;;;;;4/COMP3_INP/O;;;;
;;USART3_RTS/TIM1_CH2N/TIM15_C;;;;;;;;;;;;;;;;;PAMP2_VINP)[S;;;;
;;H1/TSC_G6_IO4];;;;;;;;;;;;;;;;;PI2_MISO/I2S2e;;;;
;;;;;;;;;;;;;;;;;;;xt_SD/USART3_;;;;
;;;;;;;;;;;;;;;;;;;RTS/TIM1_CH2;;;;
;;;;;;;;;;;;;;;;;;;N/TIM15_CH1/T;;;;
;;;;;;;;;;;;;;;;;;;SC_G6_IO4];;;;
54;;PB15/(ADC4_IN5/COMP6_INM)[SPI;;;;;;;54;;;Passive;;1;True;;True;;PB15/(ADC4_IN;;0mm;;
;;2_MOSI/I2S2_SD/TIM1_CH3N/RTC_;;;;;;;;;;;;;;;;;5/COMP6_INM)[;;;;
;;REFIN/TIM15_CH1N/TIM15_CH2];;;;;;;;;;;;;;;;;SPI2_MOSI/I2S2;;;;
;;;;;;;;;;;;;;;;;;;;;;;
среда 24-окт-24.2018   12:07:31 PM;;;;;;;;;;;;;;;;;;;;;;;Page 4 of 8
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
Designator;;Name;;;;Desc;;;LQFP100_A;;;Type;;Owner;Show;;Number;;Name;;Pin/Pkg Length;;
;;;;;;;;;;;;;;;;;;;_SD/TIM1_CH3;;;;
;;;;;;;;;;;;;;;;;;;N/RTC_REFIN/T;;;;
;;;;;;;;;;;;;;;;;;;IM15_CH1N/TIM;;;;
;;;;;;;;;;;;;;;;;;;15_CH2];;;;
55;;PD8/(ADC4_IN12/OPAMP4_VINM)[U;;;;;;;55;;;Passive;;1;True;;True;;PD8/(ADC4_IN1;;0mm;;
;;SART3_TX];;;;;;;;;;;;;;;;;2/OPAMP4_VIN;;;;
;;;;;;;;;;;;;;;;;;;M)[USART3_TX];;;;
56;;PD9/(ADC4_IN13)[USART3_RX];;;;;;;56;;;Passive;;1;True;;True;;PD9/(ADC4_IN1;;0mm;;
;;;;;;;;;;;;;;;;;;;3)[USART3_RX];;;;
57;;PD10/(ADC34_IN7/COMP6_INM)[US;;;;;;;57;;;Passive;;1;True;;True;;PD10/(ADC34_I;;0mm;;
;;ART3_CK];;;;;;;;;;;;;;;;;N7/COMP6_INM;;;;
;;;;;;;;;;;;;;;;;;;)[USART3_CK];;;;
58;;PD11/(ADC34_IN8/OPAMP4_VINP)[;;;;;;;58;;;Passive;;1;True;;True;;PD11/(ADC34_I;;0mm;;
;;USART3_CTS];;;;;;;;;;;;;;;;;N8/OPAMP4_VI;;;;
;;;;;;;;;;;;;;;;;;;NP)[USART3_C;;;;
;;;;;;;;;;;;;;;;;;;TS];;;;
59;;PD12/(ADC34_IN9)[USART3_RTS_D;;;;;;;59;;;Passive;;1;True;;True;;PD12/(ADC34_I;;0mm;;
;;E/TIM4_CH1/TSC_G8_IO1];;;;;;;;;;;;;;;;;N9)[USART3_RT;;;;
;;;;;;;;;;;;;;;;;;;S_DE/TIM4_CH1;;;;
;;;;;;;;;;;;;;;;;;;/TSC_G8_IO1];;;;
60;;PD13/(ADC34_IN10/COMP5_INM)[TI;;;;;;;60;;;Passive;;1;True;;True;;PD13/(ADC34_I;;0mm;;
;;M4_CH2/TSC_G8_IO2];;;;;;;;;;;;;;;;;N10/COMP5_IN;;;;
;;;;;;;;;;;;;;;;;;;M)[TIM4_CH2/T;;;;
;;;;;;;;;;;;;;;;;;;SC_G8_IO2];;;;
61;;PD14/(ADC34_IN11/OPAMP2_VINP);;;;;;;61;;;Passive;;1;True;;True;;PD14/(ADC34_I;;0mm;;
;;[TIM4_CH3/TSC_G8_IO3];;;;;;;;;;;;;;;;;N11/OPAMP2_V;;;;
;;;;;;;;;;;;;;;;;;;INP)[TIM4_CH3/;;;;
;;;;;;;;;;;;;;;;;;;TSC_G8_IO3];;;;
62;;PD15/(COMP3_INM)[SPI2_NSS/TIM;;;;;;;62;;;Passive;;1;True;;True;;PD15/(COMP3_I;;0mm;;
;;4_CH4/TSC_G8_IO4];;;;;;;;;;;;;;;;;NM)[SPI2_NSS/;;;;
;;;;;;;;;;;;;;;;;;;TIM4_CH4/TSC_;;;;
;;;;;;;;;;;;;;;;;;;G8_IO4];;;;
63;;PC6/[I2S2_MCK/TIM8_CH1/TIM3_C;;;;;;;63;;;Passive;;1;True;;True;;PC6/[I2S2_MCK/;;0mm;;
;;H1/COMP6_OUT][*];;;;;;;;;;;;;;;;;TIM8_CH1/TIM3;;;;
;;;;;;;;;;;;;;;;;;;_CH1/COMP6_O;;;;
;;;;;;;;;;;;;;;;;;;UT][*];;;;
64;;PC7/[I2S3_MCK/TIM8_CH2/TIM3_C;;;;;;;64;;;Passive;;1;True;;True;;PC7/[I2S3_MCK/;;0mm;;
;;H2/COMP5_OUT][*];;;;;;;;;;;;;;;;;TIM8_CH2/TIM3;;;;
;;;;;;;;;;;;;;;;;;;_CH2/COMP5_O;;;;
;;;;;;;;;;;;;;;;;;;UT][*];;;;
