;;;;;;;;;;;;;;;;;;;;;;;;
Report Generated From Altium Designer;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Designator;;Name;Desc;;;;LQFP48_H;;;Type;;Owner;;Show;;Number;;Name;;;Pin/Pkg Length;;;
пятница 19-окт-19.2018   8:33:45 PM;;;;;;;;;;;;;;;;;;;;;;;Page 2 of 3;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Designator;;Name;Desc;;;;LQFP48_H;;;Type;;Owner;;Show;;Number;;Name;;;Pin/Pkg Length;;;
;;_CH2N/CO;;;;;;;;;;;;;;;;2_OUT/CAN_TX;;;;;;
;;MP2_OUT/;;;;;;;;;;;;;;;;;;;;;;
;;CAN_TX;;;;;;;;;;;;;;;;;;;;;;
34;;PA13/JTMS;;;;;34;;;Passive;;1;;True;;True;;PA13/JTMS/SWDA;;;0mm;;;
;;/SWDAT/TI;;;;;;;;;;;;;;;;T/TIM16_CH1N/IR_;;;;;;
;;M16_CH1N/;;;;;;;;;;;;;;;;OUT;;;;;;
;;IR_OUT;;;;;;;;;;;;;;;;;;;;;;
35;;VSS;;;;;35;;;Passive;;1;;True;;True;;VSS;;;0mm;;;
36;;VDD;;;;;36;;;Passive;;1;;True;;True;;VDD;;;0mm;;;
37;;PA14/JTCK/;;;;;37;;;Passive;;1;;True;;True;;PA14/JTCK/SWCL;;;0mm;;;
;;SWCLK/I2C;;;;;;;;;;;;;;;;K/I2C1_SDA/USAR;;;;;;
;;1_SDA/USA;;;;;;;;;;;;;;;;T2_TX;;;;;;
;;RT2_TX;;;;;;;;;;;;;;;;;;;;;;
38;;PA15/JTDI/;;;;;38;;;Passive;;1;;True;;True;;PA15/JTDI/TIM2_C;;;0mm;;;
;;TIM2_CH1/I;;;;;;;;;;;;;;;;H1/I2C1_SCL/SPI1;;;;;;
;;2C1_SCL/S;;;;;;;;;;;;;;;;_NSS/USART2_RX;;;;;;
;;PI1_NSS/U;;;;;;;;;;;;;;;;;;;;;;
;;SART2_RX;;;;;;;;;;;;;;;;;;;;;;
39;;PB3/JTDO/;;;;;39;;;Passive;;1;;True;;True;;PB3/JTDO/TRACE/;;;0mm;;;
;;TRACE/SW;;;;;;;;;;;;;;;;SWO/TIM2_CH2/S;;;;;;
;;O/TIM2_CH;;;;;;;;;;;;;;;;PI1_SCK/USART2;;;;;;
;;2/SPI1_SC;;;;;;;;;;;;;;;;_TX;;;;;;
;;K/USART2_;;;;;;;;;;;;;;;;;;;;;;
;;TX;;;;;;;;;;;;;;;;;;;;;;
40;;PB4/NJTRS;;;;;40;;;Passive;;1;;True;;True;;PB4/NJTRST/TIM1;;;0mm;;;
;;T/TIM16_C;;;;;;;;;;;;;;;;6_CH1/TIM3_CH1/;;;;;;
;;H1/TIM3_C;;;;;;;;;;;;;;;;SPI1_MISO/USAR;;;;;;
;;H1/SPI1_MI;;;;;;;;;;;;;;;;T2_RX;;;;;;
;;SO/USART;;;;;;;;;;;;;;;;;;;;;;
;;2_RX;;;;;;;;;;;;;;;;;;;;;;
41;;PB5/TIM3_;;;;;41;;;Passive;;1;;True;;True;;PB5/TIM3_CH2/I2C;;;0mm;;;
;;CH2/I2C1_;;;;;;;;;;;;;;;;1_SMBA/SPI1_MO;;;;;;
;;SMBA/SPI1;;;;;;;;;;;;;;;;SI/TIM17_CH1;;;;;;
;;_MOSI/TIM;;;;;;;;;;;;;;;;;;;;;;
;;17_CH1;;;;;;;;;;;;;;;;;;;;;;
42;;PB6/TIM16_;;;;;42;;;Passive;;1;;True;;True;;PB6/TIM16_CH1N/I;;;0mm;;;
;;CH1N/I2C1;;;;;;;;;;;;;;;;2C1_SCL/USART1;;;;;;
;;_SCL/USAR;;;;;;;;;;;;;;;;_TX;;;;;;
;;T1_TX;;;;;;;;;;;;;;;;;;;;;;
43;;PB7/TIM17_;;;;;43;;;Passive;;1;;True;;True;;PB7/TIM17_CH1N/I;;;0mm;;;
;;CH1N/I2C1;;;;;;;;;;;;;;;;2C1_SDA/USART1;;;;;;
;;_SDA/USA;;;;;;;;;;;;;;;;_RX/TIM3_CH4;;;;;;
;;RT1_RX/TI;;;;;;;;;;;;;;;;;;;;;;
;;M3_CH4;;;;;;;;;;;;;;;;;;;;;;
44;;BOOT0;;;;;44;;;Passive;;1;;True;;True;;BOOT0;;;0mm;;;
45;;PB8/TIM16_;;;;;45;;;Passive;;1;;True;;True;;PB8/TIM16_CH1/I2;;;0mm;;;
;;CH1/I2C1_;;;;;;;;;;;;;;;;C1_SCL/USART3_;;;;;;
;;SCL/USAR;;;;;;;;;;;;;;;;RX/CAN_RX/;;;;;;
;;T3_RX/CAN;;;;;;;;;;;;;;;;;;;;;;
;;_RX/;;;;;;;;;;;;;;;;;;;;;;
46;;PB9/TIM17_;;;;;46;;;Passive;;1;;True;;True;;PB9/TIM17_CH1/I2;;;0mm;;;
;;CH1/I2C1_;;;;;;;;;;;;;;;;C1_SDA/IR_OUT/U;;;;;;
;;SDA/IR_OU;;;;;;;;;;;;;;;;SART3_TX/CAN_T;;;;;;
;;T/USART3_;;;;;;;;;;;;;;;;X;;;;;;
;;TX/CAN_TX;;;;;;;;;;;;;;;;;;;;;;
47;;VSS;;;;;47;;;Passive;;1;;True;;True;;VSS;;;0mm;;;
48;;VDD;;;;;48;;;Passive;;1;;True;;True;;VDD;;;0mm;;;
;;;;;;;;;;;;;;;;;;;;;;;;
пятница 19-окт-19.2018   8:33:45 PM;;;;;;;;;;;;;;;;;;;;;;;Page 3 of 3;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
