;;;;;;;;;;;;;;;;;;;;;;;;
Report Generated From Altium Designer;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Designator;Name;;;;;Desc;;;LQFP64_L;;LQFP64_H;;Type;;Owner;Show;;Number;;Name;Pin/Pkg Length;;;
;;;;;;;;;;;;;;;;;;;;CAN2_TX /;;;;
;;;;;;;;;;;;;;;;;;;;DCMI_D5 /;;;;
;;;;;;;;;;;;;;;;;;;;USART1_TX;;;;
;;;;;;;;;;;;;;;;;;;;[*];;;;
59;PB7 / I2C1_SDA / FSMC_NL /;;;;;;;;59;;59;;Passive;;1;True;;True;;PB7 /;;0mm;;
;DCMI_VSYNC / USART1_RX /;;;;;;;;;;;;;;;;;;;I2C1_SDA /;;;;
;TIM4_CH2 [*];;;;;;;;;;;;;;;;;;;FSMC_NL /;;;;
;;;;;;;;;;;;;;;;;;;;DCMI_VSYNC;;;;
;;;;;;;;;;;;;;;;;;;;/ USART1_RX;;;;
;;;;;;;;;;;;;;;;;;;;/ TIM4_CH2 [*];;;;
60;BOOT0/VPP;;;;;;;;60;;60;;Passive;;1;True;;True;;BOOT0/VPP;;0mm;;
61;PB8 / TIM4_CH3 / SDIO_D4 /;;;;;;;;61;;61;;Passive;;1;True;;True;;PB8 /;;0mm;;
;TIM10_CH1 / DCMI_D6 / I2C1_SCL;;;;;;;;;;;;;;;;;;;TIM4_CH3 /;;;;
;/ CAN1_RX [*];;;;;;;;;;;;;;;;;;;SDIO_D4 /;;;;
;;;;;;;;;;;;;;;;;;;;TIM10_CH1 /;;;;
;;;;;;;;;;;;;;;;;;;;DCMI_D6 /;;;;
;;;;;;;;;;;;;;;;;;;;I2C1_SCL /;;;;
;;;;;;;;;;;;;;;;;;;;CAN1_RX [*];;;;
62;PB9 / SPI2_NSS / I2S2_WS /;;;;;;;;62;;62;;Passive;;1;True;;True;;PB9 /;;0mm;;
;TIM4_CH4 / TIM11_CH1 / SDIO_D5;;;;;;;;;;;;;;;;;;;SPI2_NSS /;;;;
;/ DCMI_D7 / I2C1_SDA / CAN1_TX;;;;;;;;;;;;;;;;;;;I2S2_WS /;;;;
;[*];;;;;;;;;;;;;;;;;;;TIM4_CH4 /;;;;
;;;;;;;;;;;;;;;;;;;;TIM11_CH1 /;;;;
;;;;;;;;;;;;;;;;;;;;SDIO_D5 /;;;;
;;;;;;;;;;;;;;;;;;;;DCMI_D7 /;;;;
;;;;;;;;;;;;;;;;;;;;I2C1_SDA /;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
среда 24-окт-24.2018   1:34:18 PM;;;;;;;;;;;;;;;;;;;;;;;Page 5 of 6;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Designator;Name;;;;;Desc;;;LQFP64_L;;LQFP64_H;;Type;;Owner;Show;;Number;;Name;Pin/Pkg Length;;;
;;;;;;;;;;;;;;;;;;;;CAN1_TX [*];;;;
63;VSS;;;;;;;;63;;63;;Passive;;1;True;;True;;VSS;;0mm;;
